Date,Gross sales,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
2025/Jul,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,0.00
2025/Jul,56656.00,600.00,448.10,55607.90,19370.80,36237.10,65.17%,0.00
2025/Jun,459061.00,1573.00,1627.20,455860.80,155156.45,300704.35,65.96%,0.00
2025/May,628244.00,8010.00,1803.20,618430.80,205346.06,413084.74,66.80%,0.00
2025/Apr,688638.00,8917.00,2199.70,677521.30,159045.18,518476.12,76.53%,0.00
2025/Mar,840426.00,11605.00,983.00,827838.00,172482.01,655355.99,79.16%,0.00
2025/Feb,744690.00,13818.00,1454.70,729417.30,135264.65,594152.65,81.46%,0.00
2025/Jan,726374.00,13443.00,1724.50,711206.50,130812.73,580393.77,81.61%,0.00
2024/Dec,723791.00,12085.00,1535.90,710170.10,135964.55,574205.55,80.85%,0.00
2024/Nov,667608.00,21346.00,1764.90,644497.10,132570.15,511926.95,79.43%,0.00
2024/Oct,615106.00,9613.00,2131.53,603361.47,125851.73,477509.74,79.14%,0.00
2024/Sep,506047.00,263.00,1181.83,504602.17,104682.81,399919.36,79.25%,0.00
2024/Aug,1208106.00,16951.00,2407.10,1188747.90,258981.98,929765.92,78.21%,0.00
